State,US dollars,number of international students,Jobs
Alabama,$339.5 million,10370,2308
Alaska,$10 million,304,56
Arizona,$1.0 billion,31386,8654
Arkansas,$153.8 million,6409,985
California,$6.3 billion,139351,52049
Colorado,$409.9 million,10547,3721
Connecticut,$747.7 million,21865,5848
Delaware,$108.9 million,4773,960
District of Columbia,$532.2 million,11988,3878
Florida,$1.5 billion,46720,11610
Georgia,$1.1 billion,28882,9148
Hawaii,$124.5 million,3941,762
Idaho,$85.5 million,3601,586
Illinois,$2.4 billion,66635,22479
Indiana,$997.5 million,30921,8349
Iowa,$266.5 million,8122,1844
Kansas,$230.8 million,9371,1466
Kentucky,$295.5 million,9848,1715
Louisiana,$271.1 million,7533,2190
Maine,$87.3 million,2306,499
Maryland,$1.0 billion,26636,9858
Massachusetts,$3.6 billion,84097,30805
Michigan,$1.4 billion,40177,11311
Minnesota,$518 million,15560,3530
Mississippi,$92.1 million,3444,622
Missouri,$1.0 billion,36341,8032
Montana,$31.1 million,940,207
Nebraska,$121.4 million,4049,770
Nevada,$67.6 million,2211,530
New Hampshire,$160.4 million,4575,1263
New Jersey,$950.3 million,26738,8226
New Mexico,$84.5 million,2943,587
New York,$5.9 billion,137799,46562
North Carolina,$886.3 million,26097,8113
North Dakota,$56.7 million,2495,351
Ohio,$1.3 billion,39140,10736
Oklahoma,$224.7 million,7818,1450
Oregon,$263.8 million,7366,1928
Pennsylvania,$2.1 billion,50848,20217
Rhode Island,$272.4 million,5212,2217
South Carolina,$207.2 million,6863,1494
South Dakota,$67.1 million,2890,350
Tennessee,$384.8 million,11261,3344
Texas,$2.5 billion,97043,21381
Utah,$316.3 million,10343,2427
Vermont,$57.6 million,1279,336
Virginia,$893.5 million,23557,7801
Washington,$950.1 million,24640,6500
West Virginia,$81.9 million,2434,529
Wisconsin,$571.8 million,16391,4991
Wyoming,$25.5 million,967,160
Total,42.9 billion,1177766,355736